customer_key,prefix,first_name,last_name,birth_date,marital_status,gender,email_address,annual_income,total_children,education_level,occupation,home_owner,age
11017,MRS.,Shannon,Wang,1944-06-26,Single,Female,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,Y,82
11018,MR.,Clarence,Rai,1944-10-09,Single,Male,clarence32@adventure-works.com,30000,2,Partial College,Clerical,Y,82
11019,MR.,Luke,Lal,1978-03-07,Single,Male,luke18@adventure-works.com,40000,0,High School,Skilled Manual,N,48
11020,MR.,Jordan,King,1978-09-20,Single,Male,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,N,48
11021,MS.,Destiny,Wilson,1978-09-03,Single,Female,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,N,48
11022,MR.,Ethan,Zhang,1978-10-12,Married,Male,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,48
11023,MR.,Seth,Edwards,1978-10-11,Married,Male,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,48
11024,MR.,Russell,Xie,1978-09-17,Married,Male,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,Y,48
11025,Unknown,Alejandro,Beck,1945-12-23,Married,Unknown,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,Y,81
11026,MR.,Harold,Sai,1946-04-03,Single,Male,harold3@adventure-works.com,30000,2,Partial College,Clerical,N,80
11027,MR.,Jessie,Zhao,1946-12-07,Married,Male,jessie16@adventure-works.com,30000,2,Partial College,Clerical,Y,80
11028,MRS.,Jill,Jimenez,1946-04-11,Married,Female,jill13@adventure-works.com,30000,2,Partial College,Clerical,Y,80
11029,MR.,Jimmy,Moreno,1946-12-21,Married,Male,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,Y,80
11030,MRS.,Bethany,Yuan,1947-02-22,Married,Female,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,Y,79
11031,MRS.,Theresa,Ramos,1947-08-22,Married,Female,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,Y,79
11032,MRS.,Denise,Stone,1947-06-11,Married,Female,denise10@adventure-works.com,20000,4,High School,Skilled Manual,Y,79
11033,MR.,Jaime,Nath,1947-09-23,Married,Male,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,Y,79
11034,MRS.,Ebony,Gonzalez,1947-06-19,Married,Female,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,Y,79
11035,Unknown,Wendy,Dominguez,1948-02-24,Married,Unknown,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,Y,78
11036,MS.,Jennifer,Russell,1978-12-18,Married,Female,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,Y,48
11037,MS.,Chloe,Garcia,1977-11-27,Single,Female,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,N,49
11038,MRS.,Diana,Hernandez,1948-03-23,Married,Female,diana2@adventure-works.com,10000,2,Partial High School,Clerical,Y,78
11039,MR.,Marc,Martin,1948-12-17,Married,Male,marc3@adventure-works.com,30000,3,Partial College,Clerical,Y,78
11040,MR.,Jesse,Murphy,1977-08-01,Married,Male,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,Y,49
11041,MS.,Amanda,Carter,1977-10-16,Married,Female,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,Y,49
11042,MS.,Megan,Sanchez,1977-06-13,Married,Female,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,Y,49
11043,MR.,Nathan,Simmons,1976-02-24,Married,Male,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,Y,50
11044,MR.,Adam,Flores,1949-05-24,Married,Male,adam10@adventure-works.com,20000,2,Partial High School,Clerical,Y,77
11045,MR.,Leonard,Nara,1950-05-19,Single,Male,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,N,76
11046,MRS.,Christine,Yuan,1950-03-22,Married,Female,christine4@adventure-works.com,30000,3,High School,Skilled Manual,Y,76
11047,MRS.,Jaclyn,Lu,1950-02-27,Married,Female,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,N,76
11048,MR.,Jeremy,Powell,1950-11-22,Married,Male,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,Y,76
11049,MS.,Carol,Rai,1980-07-18,Single,Female,carol8@adventure-works.com,40000,0,Partial High School,Clerical,Y,46
11050,MR.,Alan,Zheng,1951-09-07,Married,Male,alan23@adventure-works.com,30000,3,High School,Skilled Manual,Y,75
11051,MR.,Daniel,Johnson,1951-08-04,Single,Male,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,N,75
11052,MRS.,Heidi,Lopez,1951-08-07,Single,Female,heidi19@adventure-works.com,40000,2,Partial College,Clerical,N,75
11053,MS.,Ana,Price,1980-08-20,Married,Female,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,N,46
11054,MRS.,Deanna,Munoz,1952-03-10,Married,Female,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,Y,74
11055,MR.,Gilbert,Raje,1952-03-05,Married,Male,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,Y,74
11056,MRS.,Michele,Nath,1953-04-03,Married,Female,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,Y,73
11057,MR.,Carl,Andersen,1953-10-12,Married,Male,carl12@adventure-works.com,70000,2,Graduate Degree,Management,Y,73
11058,MR.,Marc,Diaz,1954-04-27,Married,Male,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,Y,72
11059,MRS.,Ashlee,Andersen,1954-04-01,Single,Female,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,Y,72
11060,MR.,Jon,Zhou,1954-03-17,Married,Male,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,Y,72
11061,MR.,Todd,Gao,1954-02-27,Married,Male,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,Y,72
11062,MR.,Noah,Powell,1975-09-02,Married,Male,noah5@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11063,MS.,Angela,Murphy,1975-04-07,Single,Female,angela41@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11064,MR.,Chase,Reed,1975-12-07,Married,Male,chase21@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11065,MS.,Jessica,Henderson,1973-10-09,Married,Female,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,N,53
11066,MS.,Grace,Butler,1973-11-27,Married,Female,grace62@adventure-works.com,70000,0,Partial College,Professional,Y,53
11067,MR.,Caleb,Carter,1976-09-25,Single,Male,caleb40@adventure-works.com,60000,0,Partial College,Professional,Y,50
11068,MRS.,Tiffany,Liang,1955-09-23,Single,Female,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,Y,71
11069,MRS.,Carolyn,Navarro,1955-09-21,Single,Female,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,N,71
11070,MR.,Willie,Raji,1955-04-05,Married,Male,willie40@adventure-works.com,80000,2,High School,Skilled Manual,Y,71
11071,MRS.,Linda,Serrano,1955-06-26,Single,Female,linda31@adventure-works.com,80000,2,High School,Skilled Manual,Y,71
11072,MRS.,Casey,Luo,1955-02-06,Single,Female,casey6@adventure-works.com,80000,2,High School,Skilled Manual,N,71
11073,MRS.,Amy,Ye,1956-08-14,Single,Female,amy16@adventure-works.com,70000,2,High School,Skilled Manual,Y,70
11074,MR.,Levi,Arun,1956-08-28,Single,Male,levi6@adventure-works.com,70000,2,High School,Skilled Manual,Y,70
11075,MRS.,Felicia,Jimenez,1957-11-16,Single,Female,felicia4@adventure-works.com,80000,2,High School,Professional,Y,69
11076,MR.,Blake,Anderson,1957-07-13,Single,Male,blake9@adventure-works.com,80000,2,High School,Professional,Y,69
11077,MRS.,Leah,Ye,1957-09-19,Single,Female,leah7@adventure-works.com,80000,2,High School,Professional,N,69
11078,MS.,Gina,Martin,1974-01-10,Single,Female,gina1@adventure-works.com,40000,0,High School,Professional,N,52
11079,MR.,Donald,Gonzalez,1959-03-11,Single,Male,donald20@adventure-works.com,160000,0,Graduate Degree,Management,Y,67
11080,MR.,Damien,Chander,1959-07-17,Married,Male,damien32@adventure-works.com,170000,0,Graduate Degree,Management,Y,67
11081,MRS.,Savannah,Baker,1966-07-24,Married,Female,savannah39@adventure-works.com,120000,2,Bachelors,Management,Y,60
11082,Unknown,Angela,Butler,1966-08-04,Single,Unknown,angela17@adventure-works.com,130000,0,Graduate Degree,Management,N,60
11083,MS.,Alyssa,Cox,1966-03-15,Married,Female,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,Y,60
11084,MR.,Lucas,Phillips,1957-09-12,Single,Male,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,N,69
11085,MRS.,Emily,Johnson,1957-07-19,Single,Female,emily1@adventure-works.com,60000,2,High School,Professional,N,69
11086,MR.,Ryan,Brown,1957-12-23,Married,Male,ryan43@adventure-works.com,70000,2,Partial College,Professional,Y,69
11087,MRS.,Tamara,Liang,1957-10-03,Married,Female,tamara6@adventure-works.com,70000,3,Partial College,Professional,N,69
11089,MRS.,Abigail,Price,1957-02-05,Single,Female,abigail25@adventure-works.com,80000,2,Bachelors,Management,Y,69
11090,MR.,Trevor,Bryant,1957-12-17,Single,Male,trevor18@adventure-works.com,90000,2,Partial College,Professional,Y,69
11091,MR.,Dalton,Perez,1957-04-04,Married,Male,dalton37@adventure-works.com,90000,2,Partial College,Professional,Y,69
11092,MRS.,Cheryl,Diaz,1967-05-06,Married,Female,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,Y,59
11093,MS.,Aimee,He,1967-09-10,Married,Female,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,Y,59
11094,MR.,Cedric,Ma,1962-04-01,Single,Male,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,N,64
11095,MR.,Chad,Kumar,1962-09-01,Single,Male,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,Y,64
11096,MR.,Andrés,Anand,1962-08-10,Married,Male,andrés18@adventure-works.com,60000,1,Bachelors,Professional,Y,64
11097,MR.,Edwin,Nara,1961-10-27,Married,Male,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,65
11098,MRS.,Mallory,Rubio,1961-05-01,Single,Female,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,N,65
11099,MR.,Adam,Ross,1961-03-08,Married,Male,adam2@adventure-works.com,60000,1,Bachelors,Professional,Y,65
11100,MRS.,Latasha,Navarro,1960-09-15,Single,Female,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,66
11101,MS.,Abby,Sai,1965-05-08,Single,Female,abby4@adventure-works.com,70000,0,Bachelors,Professional,N,61
11102,MRS.,Julia,Nelson,1965-04-21,Single,Female,julia7@adventure-works.com,80000,5,Bachelors,Professional,Y,61
11103,MS.,Cassie,Chande,1964-10-17,Single,Female,cassie13@adventure-works.com,70000,0,Bachelors,Professional,Y,62
11104,MR.,Edgar,Sara,1964-03-11,Married,Male,edgar11@adventure-works.com,70000,0,Bachelors,Professional,N,62
11105,MS.,Candace,Fernandez,1964-12-28,Single,Female,candace15@adventure-works.com,70000,0,Bachelors,Professional,N,62
11106,MR.,Jessie,Liu,1964-09-11,Single,Male,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N,62
11107,MRS.,Bianca,Lin,1959-09-09,Married,Female,bianca7@adventure-works.com,90000,1,Bachelors,Professional,Y,67
11108,MS.,Kari,Alvarez,1963-07-14,Single,Female,kari25@adventure-works.com,70000,0,Bachelors,Professional,N,63
11109,MR.,Ruben,Kapoor,1963-11-05,Single,Male,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N,63
11110,MR.,Curtis,Yang,1962-06-06,Married,Male,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,64
11111,MRS.,Meredith,Gutierrez,1962-02-23,Married,Female,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,64
11112,MRS.,Crystal,Wang,1962-09-09,Married,Female,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,Y,64
11113,MR.,Micheal,Blanco,1962-02-21,Married,Male,micheal11@adventure-works.com,70000,5,Bachelors,Professional,Y,64
11114,MRS.,Leslie,Moreno,1962-05-28,Single,Female,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,64
11115,MR.,Alvin,Cai,1962-02-12,Married,Male,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,64
11116,MR.,Clinton,Carlson,1962-10-07,Married,Male,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,64
11117,MRS.,April,Deng,1961-02-21,Married,Female,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,65
11118,MR.,Alvin,Zeng,1957-07-03,Single,Male,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,N,69
11119,MR.,Evan,James,1935-04-10,Single,Male,evan8@adventure-works.com,30000,2,Partial College,Clerical,N,91
11121,MR.,Orlando,Suarez,1960-11-18,Married,Male,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,66
11122,MR.,Byron,Vazquez,1960-04-02,Married,Male,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,66
11123,MR.,Philip,Alvarez,1960-06-20,Married,Male,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,Y,66
11124,MR.,Ross,Jordan,1957-07-27,Single,Male,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,Y,69
11125,MRS.,Dana,Navarro,1956-04-08,Single,Female,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,Y,70
11126,MR.,Shaun,Carson,1949-04-07,Married,Male,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,N,77
11127,MS.,Jan,Edwards,1975-10-21,Married,Female,jan11@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11128,MS.,Samantha,Long,1975-12-05,Married,Female,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11129,MS.,Julia,Wright,1975-08-05,Single,Female,julia17@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11130,MS.,Caroline,Russell,1980-01-06,Married,Female,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,Y,46
11131,MS.,Amanda,Rivera,1980-03-12,Married,Female,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,N,46
11132,MS.,Melissa,Richardson,1980-10-26,Single,Female,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,N,46
11133,MS.,Angela,Griffin,1980-09-08,Single,Female,angela23@adventure-works.com,30000,0,Partial High School,Clerical,N,46
11134,MR.,Larry,Townsend,1946-02-26,Single,Male,larry14@adventure-works.com,10000,5,High School,Skilled Manual,Y,80
11135,MR.,Marcus,Harris,1979-11-03,Single,Male,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,N,47
11136,MS.,Brianna,Morgan,1978-10-26,Single,Female,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,N,48
11137,MS.,Jasmine,Taylor,1978-07-20,Married,Female,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,Y,48
11138,MS.,Lauren,Davis,1978-09-15,Married,Female,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,N,48
11139,MRS.,Tanya,Moreno,1938-11-09,Single,Female,tanya2@adventure-works.com,30000,2,Partial College,Clerical,N,88
11140,MR.,Javier,Alvarez,1977-02-11,Single,Male,javier1@adventure-works.com,30000,0,Partial High School,Clerical,N,49
11141,MS.,Nicole,Ramirez,1977-06-21,Married,Female,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,N,49
11142,MR.,Eduardo,Patterson,1977-08-14,Single,Male,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,N,49
11143,MR.,Jonathan,Henderson,1977-02-04,Married,Male,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,Y,49
11144,MR.,Edward,Hernandez,1979-09-09,Single,Male,edward48@adventure-works.com,40000,0,High School,Skilled Manual,N,47
11145,MS.,Jasmine,Coleman,1979-12-08,Single,Female,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,N,47
11146,MRS.,Karla,Goel,1939-08-26,Single,Female,karla20@adventure-works.com,40000,2,Bachelors,Management,Y,87
11147,MR.,Ernest,Wu,1939-02-05,Married,Male,ernest6@adventure-works.com,60000,2,Graduate Degree,Management,Y,87
11148,MR.,Ross,Vazquez,1941-08-16,Married,Male,ross32@adventure-works.com,40000,2,Bachelors,Management,Y,85
11149,MR.,Theodore,Gill,1941-04-20,Married,Male,theodore14@adventure-works.com,40000,2,Bachelors,Management,Y,85
11150,MR.,Russell,Shen,1941-03-15,Single,Male,russell6@adventure-works.com,40000,2,Bachelors,Management,Y,85
11151,MRS.,Melinda,Gill,1942-02-25,Single,Female,melinda9@adventure-works.com,60000,2,Graduate Degree,Management,N,84
11152,MR.,James,Williams,1976-01-10,Single,Male,james77@adventure-works.com,40000,0,High School,Skilled Manual,Y,50
11153,MS.,Angela,James,1976-06-23,Married,Female,angela34@adventure-works.com,40000,0,High School,Skilled Manual,Y,50
11154,MS.,Megan,Walker,1976-08-21,Single,Female,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,50
11155,MR.,Hunter,Robinson,1976-01-26,Single,Male,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual,N,50
11156,MS.,Maria,Roberts,1976-02-07,Single,Female,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual,N,50
11157,MS.,Hannah,Long,1975-06-11,Married,Female,hannah32@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11158,MR.,Jason,Wright,1975-10-08,Single,Male,jason46@adventure-works.com,40000,0,High School,Skilled Manual,Y,51
11159,MS.,Brianna,Hughes,1975-09-17,Single,Female,brianna57@adventure-works.com,40000,0,High School,Skilled Manual,N,51
11160,MR.,Maurice,Tang,1974-01-08,Single,Male,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual,N,52
11161,MS.,Emily,Wood,1974-04-22,Single,Female,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual,N,52
11162,MR.,Chase,Cox,1974-03-05,Single,Male,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,52
11163,MR.,Gabriel,Wang,1974-12-20,Married,Male,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual,Y,52
11164,MR.,Devin,Brooks,1974-05-05,Single,Male,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual,N,52
11165,MS.,Jocelyn,Alexander,1973-07-18,Married,Female,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual,N,53
11166,MS.,Ashley,Martinez,1972-04-24,Single,Female,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual,N,54
11167,MS.,Jasmine,Barnes,1972-08-01,Single,Female,jasmine43@adventure-works.com,80000,0,Bachelors,Management,N,54
11168,MR.,David,Rodriguez,1968-05-15,Single,Male,david83@adventure-works.com,80000,0,Bachelors,Management,N,58
11169,MR.,Bryce,Richardson,1968-06-22,Married,Male,bryce8@adventure-works.com,90000,4,Bachelors,Management,Y,58
11170,MRS.,Carol,Howard,1968-02-05,Married,Female,carol5@adventure-works.com,90000,4,Bachelors,Management,Y,58
11171,MR.,Jonathan,Hill,1967-10-09,Single,Male,jonathan43@adventure-works.com,100000,1,Bachelors,Management,Y,59
11172,MRS.,Gabrielle,Adams,1967-11-21,Married,Female,gabrielle58@adventure-works.com,100000,1,Bachelors,Management,Y,59
11173,MS.,Sarah,Thomas,1967-09-01,Single,Female,sarah13@adventure-works.com,110000,0,Graduate Degree,Management,N,59
11174,MR.,Nicholas,Robinson,1967-07-13,Married,Male,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management,Y,59
11175,MR.,Luis,Wang,1963-03-05,Single,Male,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual,Y,63
11176,MR.,Mason,Roberts,1968-01-25,Married,Male,mason25@adventure-works.com,90000,4,Bachelors,Management,Y,58
11177,MR.,Jose,Flores,1942-07-04,Married,Male,jose6@adventure-works.com,110000,2,Graduate Degree,Management,Y,84
11178,MR.,Nathan,Johnson,1943-08-24,Married,Male,nathan55@adventure-works.com,100000,2,Graduate Degree,Management,Y,83
11179,MRS.,Molly,Rodriguez,1943-06-14,Married,Female,molly18@adventure-works.com,120000,2,Graduate Degree,Management,Y,83
11180,MRS.,April,Anand,1943-01-02,Married,Female,april18@adventure-works.com,160000,1,Bachelors,Management,Y,83
11181,MR.,Devin,Martin,1943-08-08,Married,Male,devin13@adventure-works.com,170000,2,Graduate Degree,Management,Y,83
11182,MRS.,Stephanie,Torres,1944-08-25,Single,Female,stephanie19@adventure-works.com,70000,4,Bachelors,Management,Y,82
11183,MRS.,Jasmine,Lee,1944-07-15,Single,Female,jasmine19@adventure-works.com,70000,4,Bachelors,Management,Y,82
11184,MRS.,Meghan,Hernandez,1944-11-16,Single,Female,meghan3@adventure-works.com,70000,4,Bachelors,Management,Y,82
11185,MRS.,Ashley,Henderson,1944-10-08,Single,Female,ashley31@adventure-works.com,70000,4,Bachelors,Management,Y,82
11186,MRS.,Sarah,Price,1944-05-21,Single,Female,sarah25@adventure-works.com,70000,4,Bachelors,Management,Y,82
11187,MRS.,Jennifer,Cooper,1944-02-22,Married,Female,jennifer63@adventure-works.com,60000,4,Graduate Degree,Management,Y,82
11188,MRS.,Catherine,Morris,1944-09-06,Married,Female,catherine16@adventure-works.com,60000,4,Graduate Degree,Management,N,82
11190,MR.,Carson,Bryant,1944-06-22,Married,Male,carson17@adventure-works.com,70000,5,Bachelors,Management,Y,82
11191,MRS.,Kristi,Perez,1945-12-18,Single,Female,kristi39@adventure-works.com,70000,5,Bachelors,Management,Y,81
11192,MR.,James,Brown,1945-09-13,Married,Male,james79@adventure-works.com,60000,4,Bachelors,Management,Y,81
11193,MR.,Ian,Gray,1945-02-13,Married,Male,ian72@adventure-works.com,60000,4,Bachelors,Management,Y,81
11194,MRS.,Jacqueline,Price,1945-06-10,Married,Female,jacqueline0@adventure-works.com,60000,4,Bachelors,Management,Y,81
11195,MRS.,Megan,Henderson,1946-02-10,Married,Female,megan55@adventure-works.com,60000,5,Bachelors,Management,Y,80
11196,MR.,Alfredo,Romero,1946-06-07,Married,Male,alfredo10@adventure-works.com,60000,5,Bachelors,Management,Y,80
11197,MRS.,Andrea,Morris,1946-06-18,Married,Female,andrea18@adventure-works.com,70000,3,Bachelors,Management,N,80
11198,MRS.,Brooke,Sanders,1946-11-26,Single,Female,brooke3@adventure-works.com,70000,4,Bachelors,Management,Y,80
11199,MRS.,Jacqueline,Bennett,1946-11-06,Married,Female,jacqueline1@adventure-works.com,70000,4,Bachelors,Management,Y,80
11200,MR.,Jason,Griffin,1947-11-22,Married,Male,jason18@adventure-works.com,70000,4,Bachelors,Management,Y,79
11201,MRS.,Amanda,Foster,1947-08-18,Married,Female,amanda37@adventure-works.com,70000,4,Bachelors,Management,Y,79
11202,MRS.,Alexia,Price,1947-08-26,Married,Female,alexia0@adventure-works.com,80000,5,Bachelors,Management,N,79
11203,MR.,Luis,Diaz,1948-08-21,Married,Male,luis21@adventure-works.com,40000,2,High School,Professional,Y,78
11205,MRS.,Abby,Fernandez,1948-07-24,Married,Female,abby13@adventure-works.com,40000,2,High School,Professional,Y,78
11206,MR.,Blake,Flores,1948-09-24,Married,Male,blake60@adventure-works.com,60000,2,Partial College,Professional,Y,78
11207,MRS.,Danielle,Cox,1948-07-19,Single,Female,danielle12@adventure-works.com,60000,2,Partial College,Professional,Y,78
11208,MRS.,Maria,Reed,1948-02-04,Married,Female,maria4@adventure-works.com,60000,2,Bachelors,Management,Y,78
11209,MRS.,Allison,Evans,1948-01-13,Married,Female,allison21@adventure-works.com,60000,2,Bachelors,Management,Y,78
11210,MR.,Edward,Wood,1948-06-08,Married,Male,edward50@adventure-works.com,70000,4,Partial College,Professional,Y,78
11211,MRS.,Samantha,Russell,1949-10-12,Married,Female,samantha42@adventure-works.com,40000,2,High School,Professional,Y,77
11212,MRS.,Chloe,Campbell,1949-11-05,Married,Female,chloe4@adventure-works.com,40000,2,High School,Professional,Y,77
11213,MRS.,Stephanie,Murphy,1949-05-14,Single,Female,stephanie11@adventure-works.com,60000,2,Partial College,Professional,Y,77
11214,MR.,Charles,Miller,1949-11-07,Single,Male,charles9@adventure-works.com,60000,2,Partial College,Professional,Y,77
11215,MRS.,Ana,Perry,1950-06-21,Married,Female,ana7@adventure-works.com,40000,2,Partial High School,Skilled Manual,Y,76
11216,MRS.,Jasmine,Torres,1950-05-20,Single,Female,jasmine32@adventure-works.com,60000,2,Partial College,Professional,Y,76
11217,MRS.,Natalie,Adams,1950-02-11,Single,Female,natalie58@adventure-works.com,60000,2,Partial College,Professional,Y,76
11218,MRS.,Olivia,Brown,1950-09-11,Single,Female,olivia4@adventure-works.com,60000,2,Partial College,Professional,N,76
11219,MR.,Charles,Cook,1950-12-02,Married,Male,charles69@adventure-works.com,60000,2,High School,Professional,Y,76
11220,MRS.,Erica,Huang,1950-02-23,Married,Female,erica5@adventure-works.com,60000,2,Partial College,Professional,Y,76
11221,MR.,Nathan,Perry,1950-06-10,Married,Male,nathan3@adventure-works.com,70000,4,Partial College,Professional,Y,76
11222,MRS.,Alexandra,Rivera,1950-08-17,Married,Female,alexandra11@adventure-works.com,80000,3,Bachelors,Management,Y,76
11223,MRS.,Hailey,Patterson,1951-09-16,Single,Female,hailey30@adventure-works.com,70000,2,High School,Professional,Y,75
11224,MRS.,Tiffany,Li,1951-09-06,Single,Female,tiffany3@adventure-works.com,70000,2,High School,Professional,Y,75
11226,MRS.,Sydney,Ross,1951-09-27,Married,Female,sydney26@adventure-works.com,60000,2,Partial College,Professional,Y,75
